Ref,Val,Package,PosX,PosY,Rot,Side
"SW16","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",0.573000,59.985000,135.000000,bottom
"SW17","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-3.959000,49.575000,45.000000,bottom
"SW18","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-3.957000,70.405000,45.000000,bottom
"SW19","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-8.489000,59.985000,135.000000,bottom
"SW20","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-13.021000,49.575000,45.000000,bottom
"SW21","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-17.483000,39.165000,135.000000,bottom
"SW22","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-13.019000,70.405000,45.000000,bottom
"SW23","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-17.551000,59.985000,135.000000,bottom
"SW24","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-22.083000,49.575000,45.000000,bottom
"SW25","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-26.545000,39.165000,135.000000,bottom
"SW26","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-22.081000,70.405000,45.000000,bottom
"SW27","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-26.613000,59.985000,135.000000,bottom
"SW28","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-31.145000,49.575000,45.000000,bottom
"SW29","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-31.143000,70.405000,45.000000,bottom
"SW30","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-35.675000,59.985000,135.000000,bottom
"SW31","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-40.205000,70.405000,45.000000,bottom
"SW32","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",9.703000,39.165000,135.000000,bottom
"SW33","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",0.641000,39.165000,135.000000,bottom
"SW34","8HG-P-A-S1-03-065","SW_SPST_TACT_6x6_REV_MOUNT_ALT1",-8.421000,39.165000,135.000000,bottom
"U1","MCP73831T-2ACI_OT","SOT-23-5",22.808000,116.810000,90.000000,bottom
"U2","AP2114H-3_3TRG1","SOT-223",17.598000,125.600000,90.000000,bottom
"U3","CP2102N-A01-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",28.298000,118.862500,-90.000000,bottom
"U4","PCM5100APW","TSSOP-20_4.4x6.5mm_P0.65mm",-18.457800,113.034400,-90.000000,bottom
"U5","PAM8908","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",-9.727000,113.050000,-0.000000,bottom
"U6","PCA9555PW","TSSOP-24_4.4x7.8mm_P0.65mm",-29.502000,81.400000,180.000000,bottom
"U7","PCA9555PW","TSSOP-24_4.4x7.8mm_P0.65mm",20.198000,81.400000,180.000000,bottom
"U8","PCA9555PW","TSSOP-24_4.4x7.8mm_P0.65mm",-18.252000,81.400000,180.000000,bottom
"U9","CC1200","QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm",-20.533206,28.923104,-45.000000,bottom
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",-38.602000,120.700000,180.000000,bottom
"Y2","40Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-27.240700,28.568763,135.000000,bottom
